Preschool_Name,Preschool_Latitude,Preschool_Longitude,Distance_To_User_km
Little Olive Tree (Pasir Ris 21),1.3727474,103.961761,18.055175492155815
Little Olive Tree (Pasir Ris 51),1.3670285,103.9506103,17.252140178658887
Little Olive Tree (Tampines),1.3588226,103.9504721,17.706397923084744
Little Paddington Preschool Serangoon Pte Ltd,1.366069,103.8848261,11.547749225489184
Little Paddington Preschool Tanglin Park Pte Ltd,1.2986679,103.8164438,16.099567411218548
Little Petals @ Symphony,1.4351174,103.8443195,3.330125698847812
Little Petals Preschool Pte Ltd,1.4372886,103.8450801,3.353883889649583
Little Seeds Preschool (Capstone),1.2697035,103.8145724,19.320254232892733
Little Seeds Preschool (Kiddy Ark),1.3562627,103.93554,16.489940665445204
Little Seeds Preschool (Praiseland),1.4202897,103.8400826,3.7514241467453457
Little Seeds Preschool (Sonshine),1.346378,103.750415,12.997333103018697
Little Seeds Preschool (TSA - Ang Mo Kio),1.3798478,103.8394238,7.554175475544566
Little Seeds Preschool (TSA - Bukit Batok East),1.349905,103.7567678,12.283767109717685
Little Seeds Preschool (TSA - Bukit Panjang),1.3803488,103.7680693,8.779885007453647
Little Seeds Preschool (TSA - Tampines),1.3510222,103.945987,17.77320130679067
Little ShepherdsÂ Schoolhouse @ Church of the Holy Trinity,1.3488435,103.9492958,18.213383008567074
Little ShepherdsÂ Schoolhouse@Church of St Francis of Assisi-JW,1.3519794,103.7165662,14.98378284349709
Little Skool-House Alexandra Hospital,1.2851892,103.8005543,17.676743702900836
Little Skool-House Orchid Country Club,1.410939,103.843691,4.781124577296458
Little Skool-House Ulu Pandan Community Club,1.3122873,103.7896595,14.865996493149213
Little Skool-House Yishun Community Hospital,1.4233146,103.8371523,3.2837316189795214
Living Sanctuary Kindergarten,1.3559823,103.8914976,12.879570910522563
Luther Preschool,1.3062679,103.7993089,15.360578551124714
M.Y World @ Ang Mo Kio Central,1.3695066,103.8459208,8.88868025443349
M.Y World @ Buangkok Woods,1.3850768,103.8837777,9.983130350746977
M.Y World @ Bukit Batok West Quarry,1.3538295,103.7397705,13.04849859684126
M.Y World @ Canberra Eastlink,1.4434059,103.8314864,1.7720477418233544
M.Y World @ Hougang DewCourt,1.3635188,103.8935746,12.419174809327622
M.Y World @ Marsiling Greenview,1.4354671,103.7776647,4.303358952322534
